owner_kind	owner_id	class_count
java-source	datomic/Log.java	1
java-source	datomic/Peer.java	1
java-source	datomic/QueryRequest.java	1
java-source	datomic/Util.java	1
java-source	datomic/functions/Fn.java	1
java-source	datomic/functions/Fn0.java	1
java-source	datomic/functions/Fn1.java	1
java-source	datomic/functions/Fn10.java	1
java-source	datomic/functions/Fn2.java	1
java-source	datomic/functions/Fn3.java	1
java-source	datomic/functions/Fn4.java	1
java-source	datomic/functions/Fn5.java	1
java-source	datomic/functions/Fn6.java	1
java-source	datomic/functions/Fn7.java	1
java-source	datomic/functions/Fn8.java	1
java-source	datomic/functions/Fn9.java	1
java-source	datomic/impl/Circular.java	1
java-source	datomic/impl/Config.java	1
java-source	datomic/impl/Exceptions.java	3
java-source	datomic/impl/FnCacheLoader.java	1
java-source	datomic/impl/JavaByteUtil.java	1
java-source	datomic/impl/LoggedOutputStream.java	1
java-source	datomic/impl/MersenneTwisterFast.java	1
java-source	datomic/impl/ModifiedFNVHash.java	1
java-source	datomic/impl/MurmurHash.java	1
java-source	datomic/impl/PriorityExecutor.java	2
java-source	datomic/impl/Shell.java	1
java-source	datomic/impl/clusterfs/Closed.java	1
java-source	datomic/impl/clusterfs/IClusterFS.java	1
java-source	datomic/impl/db/IDatum.java	1
java-source	datomic/impl/lucene/ClusterDirectory.java	1
java-source	datomic/impl/lucene/ClusterIndexInput.java	1
java-source	datomic/impl/lucene/DirectoryRef.java	1
java-source	datomic/impl/lucene/EmptyIndexInput.java	1
java-source	datomic/impl/lucene/HybridDirectory.java	1
java-source	datomic_jetty/impl/ProxyHandler.java	1
java-source	org/eclipse/jetty/servlets/EventSource.java	2
java-source	org/eclipse/jetty/servlets/EventSourceServlet.java	2
