path	origin	archive	reading_group_hint	counterpart	baseline_relation	baseline_sha256
1.0.7705/peer/src-clj/datomic/garbage.clj	recovered-datomic-initializer		operations-and-lifecycle	1.0.7705/transactor/src-clj/datomic/garbage.clj	same-path-not-byte-identical	6b5c4c2ea73950ad76a515eaccec6e3f550bcea8f74bdeb5e5287f3cb88be39a
1.0.7705/peer/src-clj/datomic/garbage/fressian.clj	recovered-datomic-initializer		shared-structures-and-encoding	1.0.7705/transactor/src-clj/datomic/garbage/fressian.clj	same-path-not-byte-identical	6b822d58f2b8283e3ab67def57b0bfb1e741dc8b58b8a03698dcca1789232cef
1.0.7705/peer/src-clj/datomic/garbage/pod.clj	recovered-datomic-initializer		shared-model-or-support-to-inspect	1.0.7705/transactor/src-clj/datomic/garbage/pod.clj	same-path-not-byte-identical	570fcf47705b180775fbaf402a69844ac1b712bc565d12b0b9439c779a356851
1.0.7705/peer/src-clj/datomic/h2.clj	recovered-datomic-initializer		non-target-provider-or-integration-evidence	1.0.7705/transactor/src-clj/datomic/h2.clj	same-path-not-byte-identical	a4519a5bdba44dd5067f411be0ca56b3b075bb16af017dc8fcaf2f111ccc902b
1.0.7705/peer/src-clj/datomic/index.clj	recovered-datomic-initializer		shared-structures-and-encoding	1.0.7705/transactor/src-clj/datomic/index.clj	same-path-not-byte-identical	0791fc7ee0da4a0e1727d8f2eeb1a5e6eb7a811cc47acc7aa8682a3558738671
1.0.7705/peer/src-clj/datomic/index_direct_metrics.clj	recovered-datomic-initializer		shared-structures-and-encoding	1.0.7705/transactor/src-clj/datomic/index_direct_metrics.clj	same-path-not-byte-identical	79fe13890bcea605437aa22cf2083b9ab9921ff1a42c6c8375aa16241e0e9ae6
1.0.7705/peer/src-clj/datomic/integrity.clj	recovered-datomic-initializer		operations-and-lifecycle	1.0.7705/transactor/src-clj/datomic/integrity.clj	same-path-not-byte-identical	d1a68d05c265697309ea5c66d4c58ac229e6feb16a02b37f79a7f53ffad846e7
1.0.7705/peer/src-clj/datomic/io.clj	recovered-datomic-initializer		storage-abstractions-and-providers	1.0.7705/transactor/src-clj/datomic/io.clj	same-path-not-byte-identical	5ebbe6857c6d460cf9a0bcb9eb1dff7dad6f50a63b29968e064bae3bf720364e
1.0.7705/peer/src-clj/datomic/iter.clj	recovered-datomic-initializer		shared-model-or-support-to-inspect	1.0.7705/transactor/src-clj/datomic/iter.clj	same-path-not-byte-identical	19f8677b565695adebfb6e303548d4dd42d35382bb7fed47c0b8077840b11373
1.0.7705/peer/src-clj/datomic/janino.clj	recovered-datomic-initializer		shared-model-or-support-to-inspect	1.0.7705/transactor/src-clj/datomic/janino.clj	same-path-not-byte-identical	0a6aa02b81f16f1b695397846949245768ba8f5812b47bf010f444d9067b14d0
1.0.7705/peer/src-clj/datomic/kv_cache.clj	recovered-datomic-initializer		caching-and-residency	1.0.7705/transactor/src-clj/datomic/kv_cache.clj	same-path-not-byte-identical	831ec76066983758e882fce14d45308cb1cfea9b915e060225dbdaba5b89c356
1.0.7705/peer/src-clj/datomic/kv_cassandra.clj	recovered-datomic-initializer		non-target-provider-or-integration-evidence	1.0.7705/transactor/src-clj/datomic/kv_cassandra.clj	same-path-not-byte-identical	ad2b6791eb4630850f3f8af66572f24f6ce7413dd9287fe29ec1aa6a891a1a19
